model,stock,avg_test_metric1,std_test_metric1,avg_test_metric2,std_test_metric2,avg_test_metric3,std_test_metric3
<class 'lstm_entire_model_dataset.RNN'>,ETH-USD,285.2256774902344,115.11679177384298,288.76546668728645,113.66664990072903,1.4389580488204956,0.5442997338467842
<class 'lstm_entire_model_dataset.RNN'>,^KS11,584.1085433959961,157.10283520826042,606.5533459365483,152.88917892767242,0.2662700153887272,0.07648872299780075
<class 'lstm_entire_model_dataset.RNN'>,^IXIC,1351.5866241455078,880.6041995669125,1393.9173996009715,862.6758991172707,0.19234776124358177,0.12938798511305977
<class 'lstm_entire_model_dataset.RNN'>,^GSPC,1479.7901458740234,628.169642534295,1488.3397980888958,629.0316877349704,0.5416898801922798,0.2324275730509361
<class 'lstm_entire_model_dataset.RNN'>,^DJI,15053.431396484375,6029.385310973339,15106.941558006725,6056.225001019142,0.6022500395774841,0.21386308359120498
<class 'lstm_entire_model_dataset.RNN'>,^HSI,8549.836181640625,4221.756428246147,8606.047793148446,4201.336871407096,0.32127660512924194,0.16443231426149593
<class 'lstm_entire_model_dataset.RNN'>,^N225,6547.660217285156,4538.453334850602,6621.132587515756,4524.435808312116,0.3170692240819335,0.2221084744547322
<class 'lstm_entire_model_dataset.RNN'>,^GDAXI,8245.22119140625,2022.5051579767405,8454.550959412654,1725.2211668926875,0.6863040626049042,0.1356475095332127
<class 'lstm_entire_model_dataset.RNN'>,^FCHI,2051.9578552246094,308.2955925385076,2072.8562857061697,321.58495193093563,0.3942110538482666,0.06441526526987941
<class 'lstm_entire_model_dataset.RNN'>,^IBEX,3700.6062622070312,1821.7545701332126,3785.8328912018333,1697.523602897576,0.3803138229995966,0.17696843564563652
<class 'lstm_entire_model_dataset.RNN'>,^TWII,4526.627197265625,806.4748655798629,4535.483995674136,803.6943915343519,0.4216069281101227,0.0660766828169759
<class 'lstm_entire_model_dataset.RNN'>,^AEX,271.5958480834961,87.8415154588436,273.2395357142277,87.16573075909501,0.4981599301099777,0.1513309173794326
<class 'lstm_entire_model_dataset.LSTM'>,ETH-USD,411.25420475006104,212.16009701613206,414.1519391302681,210.22213198555664,2.2837062627077103,1.4922044754502541
<class 'lstm_entire_model_dataset.LSTM'>,^KS11,756.3793334960938,252.45991231364746,777.3050754367334,233.12374198115094,0.34078647568821907,0.11030085352468709
<class 'lstm_entire_model_dataset.LSTM'>,^IXIC,7092.564208984375,2024.5794430699489,7112.313754719506,2044.8198097699737,0.9157601892948151,0.15938554917168263
<class 'lstm_entire_model_dataset.LSTM'>,^GSPC,1694.9889373779297,528.0820638618974,1698.2919151112815,530.0923791591949,0.6065290495753288,0.15726949512454425
<class 'lstm_entire_model_dataset.LSTM'>,^DJI,7684.750732421875,3526.9316871951532,7758.458415471973,3536.292693682485,0.32787272334098816,0.1742878573319843
<class 'lstm_entire_model_dataset.LSTM'>,^HSI,9675.732299804688,2023.4095879707768,9744.08178961747,1969.6570963609938,0.35591426491737366,0.07221327383801714
<class 'lstm_entire_model_dataset.LSTM'>,^N225,14488.901123046875,4265.60876550509,14541.634914137427,4242.042199688653,0.679224044084549,0.17625833337988858
<class 'lstm_entire_model_dataset.LSTM'>,^GDAXI,9085.851318359375,847.89450095087,9107.851058431608,833.8147860443846,0.7488117218017578,0.05046547320069231
<class 'lstm_entire_model_dataset.LSTM'>,^FCHI,2448.58251953125,734.5828049712305,2453.250654465484,735.0773395464414,0.4715994969010353,0.1380162067077048
<class 'lstm_entire_model_dataset.LSTM'>,^IBEX,3659.605224609375,945.6646296604757,3709.0015898610427,918.2979943396681,0.3913429155945778,0.07991178903374174
<class 'lstm_entire_model_dataset.LSTM'>,^TWII,3044.598907470703,1246.7062143382132,3080.757948448081,1229.5477931231342,0.2851242795586586,0.1208304045970887
<class 'lstm_entire_model_dataset.LSTM'>,^AEX,268.433536529541,70.0065833826405,268.865278135341,69.77768342264417,0.49745042622089386,0.12934992380142457
<class 'lstm_entire_model_dataset.GRU'>,ETH-USD,435.9249858856201,259.69357124007286,440.2792549144491,260.7097523488709,2.2395466342568398,1.7398623544947054
<class 'lstm_entire_model_dataset.GRU'>,^KS11,769.3845977783203,395.15103323848655,789.9632211267468,386.2650443184927,0.3385475929826498,0.16410357485655022
<class 'lstm_entire_model_dataset.GRU'>,^IXIC,4750.628753662109,3043.425325642578,4765.270689823874,3034.2488623966733,0.6373923756182194,0.3884467630608118
<class 'lstm_entire_model_dataset.GRU'>,^GSPC,1620.3105773925781,276.1678603376677,1625.4991129709235,279.0989564307623,0.5944822579622269,0.12047653191079417
